year,month,day,lat,lon,sm_50
2019,8,28,0.44516129,39.136,0.65
2019,8,28,0.602910603,40.795,0.57
2019,8,28,0.789189189,40.295,0.77
2019,8,28,nan,43.764,nan
2019,8,28,0.417910448,46.87,0.52
2019,8,28,0.117521368,40.201,0.19
2019,8,28,0.416666667,41.967,0.42
2019,8,28,0.030241935,39.804,0.02
2019,8,28,0.908396947,36.408,nan
2019,8,28,nan,43.289,nan
2019,8,28,0.615053763,41.685,0.48
2019,8,28,nan,39.253,nan
2019,8,28,0.655913978,66.745,0.05
2019,8,28,nan,44.134,0.48
2019,8,28,0,62.133,1
2019,8,28,0,38.996,0.73
2019,8,28,0,65.367,0.51
2019,8,28,0.935483871,41.269,0.95
2019,8,28,0.475806452,40.863,0.27
2019,8,28,0.571038251,40.608,0.79
2019,8,28,0.865470852,39.683,0.77
2019,8,28,0.568075117,41.821,0.59
2019,8,28,0.46559633,41.406,0.55
2019,8,28,0.483870968,40.624,0.71
2019,8,28,0.590725806,40.855,0.27
2019,8,28,0.838709677,44.83,0.36
2019,8,28,nan,59.699,nan
2019,8,28,0.394299287,37.504,0.04
2019,8,28,0.903225806,39.012,0.3
2019,8,28,0.448,39.646,0
2019,8,28,0.856512141,39.137,0.61
2019,8,28,0.575268817,36.716,0.38
2019,8,28,0.098522167,40.185,0.06
2019,8,28,0.166666667,34.861,0
2019,8,28,0.564516129,40.885,0.54
2019,8,28,0.381048387,37.813,0.04
2019,8,28,0.663306452,39.164,0.83
2019,8,28,nan,40.512,0.06
2019,8,28,0.51843318,39.19,0.48
2019,8,28,0,41.07,0.13
2019,8,28,1,40.845,0.22
2019,8,28,0.988839286,41.751,0.01
2019,8,28,0.638814016,65.486,0.26
2019,8,28,0.729032258,38.398,0.57
2019,8,28,0.843010753,38.437,0.61
2019,8,28,0.294930876,37.748,0.01
2019,8,28,0.467889908,46.95,nan
2019,8,28,0.470941884,41.793,0.7
2019,8,28,0.492359932,44.051,0.5
2019,8,28,0.647524752,38.894,0.59
2019,8,28,nan,42.691,nan
2019,8,28,0.757793765,39.319,0.47
2019,8,28,0.683467742,40.283,0.82
2019,8,28,nan,39.238,0.47
2019,8,28,0.903225806,41.49,0.82
2019,8,28,0.832258065,39.867,0.06
2019,8,28,0.814583333,39.046,0.62
2019,8,28,0.790087464,40.565,0.98
2019,8,28,0.235849057,36.249,0
2019,8,28,0.079178886,45.248,0.06
2019,8,28,0.159274194,45.697,0.15
2019,8,28,0.166666667,40.675,0.18
2019,8,28,0.683467742,42.407,nan
2019,8,28,0.321256039,39.452,0.44
2019,8,28,nan,45.272,nan
2019,8,28,0.163793103,41.238,0.21
2019,8,28,0,33.971,0
2019,8,28,0.439882698,39.567,nan
2019,8,28,0.160869565,48.445,nan
2019,8,28,0.572580645,40.165,0.24
2019,8,28,0.662621359,38.608,0.68
2019,8,28,0.26875,35.767,0.03
2019,8,28,0.058673469,39.361,0.04
2019,8,28,0.557603687,46.783,0.73
2019,8,28,0.643010753,41.229,0.8
2019,8,28,0.237903226,38.772,0.19
2019,8,28,0.545698925,43.209,0.44
2019,8,28,0,39.436,0
2019,8,28,0.634408602,39.348,0.43
2019,8,28,0,60.617,0.04
2019,8,28,0.714285714,40.884,0.72
2019,8,28,0.867368421,38.484,0.6
2019,8,28,0.138248848,40.922,0.11
2019,8,28,0.86163522,39.49,0.87
2019,8,28,0.088709677,44.303,nan
2019,8,28,0.719917012,39.135,0.48
2019,8,28,0,37.512,0.27
2019,8,28,0.173387097,39.132,0.09
2019,8,28,0.25,37.488,0
2019,8,28,0.157258065,39.45,0.88
2019,8,28,0.474654378,65.124,0.3
2019,8,28,nan,39.085,0.05
2019,8,28,0.744239631,40.645,0.47
2019,8,28,0.060215054,44.209,0.17
2019,8,28,0.129032258,42.181,0.3
2019,8,28,0.264516129,41.408,0.94
2019,8,28,0.848635236,40.975,0.65
2019,8,28,0.781362007,38.489,0.69
2019,8,28,0.282208589,42.647,nan
2019,8,28,0.290322581,43.875,0.21
2019,8,28,0.080519481,42.28,1
2019,8,28,0.543778802,39.618,0.8
2019,8,28,0.679435484,42.013,0.6
2019,8,28,0.140039448,40.716,0.29
2019,8,28,0.826315789,41.378,0.25
2019,8,28,0.370967742,40.958,0.73
2019,8,28,0.111111111,37.722,0.05
2019,8,28,0.508960573,41.248,0.56
2019,8,28,0.944954128,38.302,0.66
2019,8,28,0.868951613,40.789,0.59
2019,8,28,0.179190751,39.015,0.17
2019,8,28,0.939516129,48.057,0.99
2019,8,28,0.070175439,34.97,0.04
2019,8,28,0.834549878,47.879,0.73
2019,8,28,nan,44.788,0.86
2019,8,28,0.099041534,60.727,0.26
2019,8,28,0.735849057,43.768,0.72
2019,8,28,0.724752475,42.436,0.9
2019,8,28,0.626728111,38.666,nan
2019,8,28,0.126027397,39.304,0.04
2019,8,28,0.611205433,42.753,0.68
2019,8,28,0.419354839,40.494,0.3
2019,8,28,0.129032258,48.519,0.11
2019,8,28,0.830107527,38.693,0.9
2019,8,28,33.891,-100.399,0.62
2019,8,28,31.193,-101.469,0.96
2019,8,28,32.414,-99.534,0
2019,8,28,34.094,-102.118,0.28
2019,8,28,34.413,-101.068,0.73
2019,8,28,32.926,-102.132,0
2019,8,28,33.389,-102.61,0.79
2019,8,28,33.526,-102.36,0.71
2019,8,28,34.423,-102.107,0.58
2019,8,28,33.604,-101.899,0.79
2019,8,28,33.345,-99.666,0.87
2019,8,28,34.654,-102.691,0.67
2019,8,28,34.731,-100.525,0.92
2019,8,28,33.668,-101.376,0.14
2019,8,28,34.133,-101.57,0.4
2019,8,28,33.481,-100.876,0.63
2019,8,28,33.735,-102.74,0.87
2019,8,28,34.456,-100.199,0.43
2019,8,28,30.929,-99.809,0.72
2019,8,28,34.445,-101.19,0.43
2019,8,28,35.113,-101.8,0.73
2019,8,28,32.991,-102.939,0.48
2019,8,28,34.651,-101.498,0
2019,8,28,33.92,-103.358,0.51
2019,8,28,33.632,-99.291,0.72
2019,8,28,31.299,-100.805,0.17
2019,8,28,35.08,-100.391,0.2
2019,8,28,34.022,-102.405,0.4
2019,8,28,31.379,-100.266,0.85
2019,8,28,32.706,-101.936,nan
2019,8,28,33.228,-102.839,0.86
2019,8,28,33.152,-102.271,0.59
2019,8,28,30.47,-99.78,0.88
2019,8,28,35.416,-101.932,0.82
2019,8,28,32.314,-102.005,0.56
2019,8,28,34.273,-100.604,0.32
2019,8,28,34.925,-100.93,nan
2019,8,28,34.206,-102.742,nan
2019,8,28,34.886,-102.99,0.22
2019,8,28,32.741,-102.636,0.83
2019,8,28,34.983,-101.501,0.74
2019,8,28,34.379,-100.932,0.38
2019,8,28,32.98,-101.832,nan
2019,8,28,35.33,-101.386,0.76
2019,8,28,33.239,-103.352,0.2
2019,8,28,33.232,-100.568,0.38
2019,8,28,33.936,-100.845,0.74
2019,8,28,35.03,-101.185,0.34
2019,8,28,33.875,-101.757,0.65
2019,8,28,34.344,-99.94,0.68
2019,8,28,33.325,-101.913,0.5
2019,8,28,33.168,-100.196,0.52
2019,8,28,33.608,-102.046,0.41
2019,8,28,31.543,-100.513,0.71
2019,8,28,34.831,-102.425,0.1
2019,8,28,34.543,-101.74,0.19
2019,8,28,33.725,-102.191,nan
2019,8,28,33.567,-100.481,0.43
2019,8,28,34.987,-102.084,0.19
2019,8,28,31.277,-103.067,0.98
2019,8,28,31.826,-101.055,0.98
2019,8,28,33.421,-102.05,0.31
2019,8,28,32.104,-101.633,0.56
2019,8,28,34.568,-102.293,0.07
2019,8,28,31.656,-101.6,0.1
2019,8,28,32.936,-102.574,0.5
2019,8,28,35.54,-100.928,0.78
2019,8,28,38.725,-97.444,1
2019,8,28,38.883,-94.991,nan
2019,8,28,39.829,-97.839,nan
2019,8,28,39.814,-97.675,0.3
2019,8,28,38.82,-101.853,nan
2019,8,28,37.369,-95.288,nan
2019,8,28,39.418,-97.14,0.12
2019,8,28,37.065,-99.751,0.02
2019,8,28,37.804,-96.883,0.96
2019,8,28,37.931,-98.02,0.03
2019,8,28,39.078,-95.771,nan
2019,8,28,38.541,-99.28,nan
2019,8,28,38.53,-101.664,nan
2019,8,28,38.101,-99.902,nan
2019,8,28,37.165,-96.228,nan
2019,8,28,38.717,-95.516,0.95
2019,8,28,39.454,-98.703,0.32
2019,8,28,37.52,-97.312,nan
2019,8,28,37.673,-101.372,nan
2019,8,28,38.386,-99.856,nan
2019,8,28,39.372,-99.831,nan
2019,8,28,39.633,-101.816,0.16
2019,8,28,37.46,-97.625,1
2019,8,28,37.902,-99.87,nan
